,review_comment_message,review_creation_year,review_score,review_type
5071,Chegou bem antes do prazo e conforme o anuncio. Muito bom atendimento!,2017,5,positive
5073,Chegou antes do prazo. Tudo certinho e muito bem embalado apesar de ser uma peça pequena tiveram todos cuidado pra chegar ao destinatário. PARABÉNS.,2017,5,positive
5080,Fiquei muito satisfeita com a qualidade deste produto e achei lindos os 2 jogos. E comprei com excelente preço. Super recomendo.,2017,5,positive
5081,Entregue bem antes do prazo. Sem nenhum problema.,2017,5,positive
5082,Soh chegou 1 capa,2018,3,neutral
5084,"O produto comprado , chegou nos correios , mais os correios mandaram a cartinha de confirmaçao que o produto estava na unidade , depois do prazo . Poderia fazer o envio do produto de novo.?",2017,4,positive
5088,Ótimo já tô usando.,2018,5,positive
5092,Erro erro,2017,4,positive
5094,Então vocês estão informando que entregaram o produto mas não foi entregue.,2018,3,neutral
5095,Adorei!,2017,5,positive
5096,"Bom
",2018,3,neutral
5097,"Muito boa a loja, entregou muito antes do prazo.",2018,5,positive
5098,"Produto perfeito. Recomendo. lannister , sempre nota 1000",2018,5,positive
5100,"não recebi o produto, mais de 1 mês de espera.",2017,1,negative
5101,"Comprei uma manta lilás e me enviaram uma cor goiaba,odiei a compra,era um presente e acabei nao dando o presente,e joguei no lixo.Que falta de profissionalismo, pelo jeito o vendedor e bem amador.",2018,1,negative
5102,entragou antes do prazo e o produto foi bem embalado ,2017,5,positive
5103,produto entregue pelos correios que não atualizou status de rastreamento e nem entregou produto ,2017,1,negative
5104,"Olá. A entrega chegou rápido, em três dias. Produto muito bom.",2017,3,neutral
5105,Eu não recebi o quadro da turma do Chaves. ,2017,1,negative
5106,"Embora eu tenha comprado o produto errado, ele foi entregue antes do prazo e em perfeito estado",2017,4,positive
5107,"Produto correto e bem
Embalado. ",2017,5,positive
5112,Excelente atendimento. Recomendo.,2018,5,positive
5115,O produto foi entregue no prazo correto.,2018,5,positive
5117,"O produto foi entregue, entretanto com atraso devido a problemas com o correio. A loja se demonstrou atenciosa em resolver meu problema.",2018,4,positive
5123,Foi entregue bem antes do prazo previsto,2018,5,positive
5128,Já sou cliente a um bom tempo e entendo o atraso mais esse deveria ser o diferencial os produtos já sabemos da qualidade exelente...,2017,2,negative
5129,"não consigo rastrear meu produto. 
muita demora pra entregar",2018,1,negative
5132,"tudo ok, como esperado",2018,5,positive
5135,Sempre compro neate site e nunca tive problemas,2018,5,positive
5138,Comprei duas luminárias e chegou somente 1. Estou aguardando a segunda luminária.,2017,3,neutral
5139,Pedi a saia branca me mandaram creme,2018,3,neutral
5140,Muito lindo e macio,2018,5,positive
5142,"Paguei por um frete onde os prazos não foram seguidos,nas informações de rastreio aparecia apenas a ocorrência de um imprevisto,a falta de informações demonstra o descaso da empresa com o cliente.",2018,1,negative
5143,"Apesar de ser entregue antes do prazo combinado, o produto veio nas cores erradas! Comprei na cor cobre e veio um dourado e outro cobre! Não adianta entregar antes do prazo se estão mandando o errado!",2018,1,negative
5146,Tudo conforme o anúncio. Recomendo.,2018,5,positive
5149,Produto bom e entregue bem antes do prazo!,2017,5,positive
5150,"Recomendo produto de ótima qualidade 
Chegou antes do prazo.",2017,5,positive
5151,recomendo,2017,5,positive
5154,"Adorei o meu produto, vou aproveitar muito.",2017,5,positive
5156,Sempre gostei de comprar no baratheon. Confio na seriedade dessa loja!,2017,3,neutral
5157,Dos 7 produtos que comprei recebemos apenas 1 mandei mensagem mas até agora sem resposta,2018,1,negative
5161,Muito fino....mas bom...,2018,3,neutral
5163,A empresa nao entra em contato com o cliente é evasiva nos seus argumentos...convence uma crinça de 3 anos que a mohila que ela sonhou em ter não chegou?,2018,1,negative
5167,"Pedido chegou antes do prazo previsto, mercadoria de qualidade! 
Recomendo",2017,5,positive
5168,vocês e muito pontual,2018,1,negative
5169,"Excelente em todos os aspectos, recebi minha compra antes do tempo... Ótimo!!! ",2017,5,positive
5171,"Comprei duas capinhas e duas películas, mas foi entregue somente uma capinha.",2017,1,negative
5172,"Produto entregue dentro do prazo, extremamente bem embalado (protegido) e funcionando corretamente.",2018,5,positive
5173,Excelente atendimento,2017,5,positive
5176,"Entrega muito rapida, antes mesmo da data prevista, produto Muito bem protegido para entrega. Funcionando como o esperado. Nota 10.",2018,5,positive
5178,Comprei pela primeira vez e fiquei satisfeito,2018,4,positive
5180,entrega feita antes da data prevista.,2018,5,positive
5183,entregue antes do prazo e em perfeto estado.,2017,4,positive
5184,O produto chegou antes do prazo estipulado mas não veio conforme anuncio e não funcionou.,2018,1,negative
5185,"Recebi muito rápido, produto perfeito.",2018,5,positive
5187,Veio tudo perfeito como no anúncio e recebi antes da data ainda ! Muito satisfeita..,2018,5,positive
5188,Nota 10,2017,5,positive
5191,Meu produto veio faltando com 5 quantidades e apenas recebi 4 e ninguém me atende no sac ou me da alguma satisfação ,2018,1,negative
5192,Top,2017,5,positive
5195,Não é possível tanta falta de atenção uma demora tremenda para receber o produto pra quando chegar vim errado e agora o q faço ???,2018,1,negative
5205,"Mosquiteiro bom. Na foto não parecia ter elástico e tem. Precisa encaixar ao redor da cama, senão ele se junta todo no meio. Tamanho é grande pra cama de solteiro. Casal mais caro e mesmo tamanho.",2017,4,positive
5209,OTIMA ,2018,5,positive
5211,"Bom amei o produto
",2018,5,positive
5213,Loja honesta!...,2018,5,positive
5216,Até o momento a empresa não entregou o nosso produto. Está muito atrasado e compromete os objetivos do cliente com a espera do produto.,2018,1,negative
5218,lannister ótima vcs dão valor as seus cliente.obrigado,2018,5,positive
5221,Parabéns ! Entrega rápida e o produto veio certinho.,2017,4,positive
5222,"Um ótimo serviço, o produto chegou bem antes da data prevista. E o produto em ótimas condições bem embalado e obrigado pelo brinde. ",2017,5,positive
5223,"fiz essa compra pelo baratheon comprei um conj. de bolsas para maternidade diz que seria entregue pelo targaryen ate agora nao chegou.
comprei na mesma compra lustres e ja chegaram ate mesmo antes do praz",2018,1,negative
5224,melhor loja amei o relogio de mais. ,2018,5,positive
5225,"Produto veio certo , porem com cor diferente ",2018,4,positive
5226,"ainda não testei o produto, mas a entrega foi rápida. obrigado",2018,5,positive
5230,Nem o targaryen e nem o intermediário stark me responderam ou deram qualquer satisfação pelo produto que paguei a vista. Prazo de entrega: 15/03. Produto foi pago quase 1 mês atrás,2018,1,negative
5231,Produto chegou bem antes do previsto!!!,2017,5,positive
5233,Ainda nao recebi,2017,1,negative
5235,"O produto é uma graça! Além de pratico muito lindo! Amei! Como sempre, a lannister arrasa em tudo!!! Super recomendo!",2017,5,positive
5239,Recebi o produto corretamente e dentro do prazo definido.,2018,5,positive
5240,Não recebi meu produto até hj. E não recebi nenhuma satisfação.,2017,1,negative
5242,"comecei usar o produto ontem, nao tenho como avaliar a eficacia. entrega rapida e bem embalado.",2018,5,positive
5243,Ótima loja entrega certinha e no prazo antes do prometido 👍👍👍👍,2017,5,positive
5246,Ótimo 100% confiável,2018,5,positive
5247,Otimo!,2018,5,positive
5251,Eu comprei um produto e me mandaram outro produto com especificações diferentes.,2017,1,negative
5253,"Bom dia!
já sou cliente da baratheon a alguns anos,não tive reclamação... mas esta cortina que comprei não gostei péssimo em acabamento, fica tudo engovinhado gostaria de trocar produto.
",2017,3,neutral
5259,"O produto é de boa qualidade, porém, comprei na cor branco e recebi na cor rosa. Não efetuei a troca pois para a utilização a cor não iria interferir, e estava com urgência.",2018,4,positive
5263,Não esperava que fosse tão boa essa caixa mas me surpreendeu a qualidade do som! Estou muto satisfeita!,2017,5,positive
5264,"Ótima compra,dentro do prazo e atendida com atenção,obrigada.",2018,5,positive
5265,Comprei a camisa tamanho 6 e foi enviado no tamanho 7,2017,1,negative
5266,"Prescizo dos produtos. Pois os mesmo sã o presente de aniversário de duas crianças. 
É a primeira vez que compro no site e já acontece isso . Quero os produtos. ",2018,1,negative
5270,"Recebi no prazo do jeito que vi ni=o site
",2017,5,positive
5271,Muito bom,2018,5,positive
5272,"O objeto era para minha filha, ela ficou satisfeita.",2017,5,positive
5275,Comprei três tonners pretos. Entregaram dois pretos e um magenta. Para devolver eu preciso da nota fiscal que eles não enviaram e a chave de acesso para a nfe estava incorreta.,2017,3,neutral
5279,Tudo ok ,2018,5,positive
5280,Era duas mesas e só recebi um quando irá chegar a outra e pq não foi as duas de vez,2017,1,negative
5281,"Pelo que entendi, o produto não tinha em estoque. Por que finalizaram a venda?",2017,1,negative
5283,"Comprei por um capacete no tamanho G, claramente especificado no anúncio. No entanto me enviaram o tamanho M, sem ao menos ser questionado se atenderia às minhas necessidades.",2018,2,negative
5284,Tudo ocorrido conforme esperado. Produto entregue e bem antes do prazo!,2018,5,positive
5286,Parabéns pelo cuidado e atenção!,2017,5,positive
5294,Foi ótimo produto foi entregue antes da data prevista,2018,5,positive
5296,"No anúncio disseram que era felpudo, só que não, descrição nada haver",2018,3,neutral
5297,Veio avariado e já pedi a troca ou cancelamento. Podem ajudar ? Obrigado ,2017,1,negative
5298,"Excelente produto, entregue no prazo. Recomendo.",2018,5,positive
5301,BOA,2017,4,positive
5304,Produto conforme anúncio.,2017,5,positive
5309,Pronto atendimento.,2018,4,positive
5314,"A unica reclamação enquanto a entrega, é a embalagem do produto que veio violada e mal embalada ",2018,4,positive
5318,Muito rápido a entrega!!!,2017,5,positive
5319,"PRODUTO DE QUALIDADE 
ATENDEU A NECESSIDADE
RECOMENDO.",2018,4,positive
5325,ótimo produto.,2017,5,positive
5327,Eu recomendo ,2017,5,positive
5329,"atraso na entrega da mercadoria,não cumpre prazo determinado.",2018,1,negative
5330,"PRODUTO CONFORME FOTO E ESPECIFICAÇÕES, MUITO BOM
",2018,5,positive
5332,Marca como entregue 2 produtos....mas na realidade recebi apenas 1....Falta tapete de borboleta ,2017,1,negative
5333,"Adorei o produto que comprei, superou minhas expectativas, super recomendo.",2017,5,positive
5342,"O produto não é o que eu esperava, mas serve",2018,1,negative
5343,"muito bom, entregue antes do prazo",2018,5,positive
5348,"Faz dois dias que o prazo da entrega venceu e o produto ainda não chegou, inclusive já foi pago parcela no cartão de crédito.",2018,1,negative
5350,"Vei junto com o controle 4 pilhas AA, mas o controle usa duas pilhas maiores.",2018,5,positive
5353,Comprei o jogo com 3 peças e me mandaram com 2 está errado to tentando entrar em contato com a lannister mais eles não respondem meus e-mail quero que seja feita a troca e não quero vale comprar ,2018,1,negative
5358,Chegou um creme para mãos fps 15 ao invés do produto que comprei.,2018,1,negative
5359,"o único problema é que no anuncio não fala se é de ilhós ou tiras, acabei comprando achando que fosse de ilhós e infelizmente não era,. pois deveria constar no anuncio. Mas o produto é bom.",2018,4,positive
5362,"Foi entregue somente um dos transformadores, entregue o de 3500 va e falta o transformafor de 5000va",2017,1,negative
5363,a compra foi realizada a 1 mês e o produto ainda não foi entregue. Não tenho acesso ao rastreamento ,2017,2,negative
5364,Achei um pouco demorado a entrega,2016,3,neutral
5365,"um bom exemplo de loja
todas deveriam ser assim nota10",2017,5,positive
5366,Ótimo produto. Recomendo ,2018,5,positive
5368,Tudo ótimo recomendo ,2017,5,positive
5370,O produto veio errado. o que é um transtorno visto que tive vários problemas com a entrega.,2018,1,negative
5371,Produto entregue antes do prazo é o conjunto muito lindo. ,2017,5,positive
5372,Chegou antes do prazo. O piso é muito prático e de fácil montagem.,2017,4,positive
5374,ok,2017,4,positive
5376,"Não recebi os produtos, quero meu dinheiro de volta.
Por favor me reembolsar",2018,1,negative
5377,Ótimo ,2017,5,positive
5380,A cor do produto que veio é totalmente diferente do da foto. ,2018,1,negative
5381,Entregue antes do tempo,2018,4,positive
5382,Não recebi meu produto e ainda não respondem meus contatos. Horrível essa loja ,2018,1,negative
5385,"Muito bom o produto chegou antes do prazo
Amei ",2017,5,positive
5386,Chegou quebrada pois a embalagem era péssima ,2018,2,negative
5395,Recebi o produto muito antes do prazo informando!,2018,4,positive
5396,Sem palavras,2018,1,negative
5397,"Produto de péssima qualidade, as 3 partes de madeira vieram arranhadas e lascadas. Pintura horrível dos cavaletes, parece que era preta e foi pintada de amarelo. Sem marcação p furação. Arrependida.",2017,1,negative
5399,Péssimo não me deram nenhuma informação nem código e pior não me entregaram ,2018,1,negative
5400,ótimo produto,2017,5,positive
5405,"Comprei o produto e depois eles informaram que não tinham no estoque, mas no site da lannister ele continuava disponível para venda. Já solicitei o cancelamento da compra, porém não obtive resposta.",2018,1,negative
5409,Produto de excelente qualidade,2017,5,positive
5410,Gostei do produto,2017,5,positive
5411,"Muito bom, comprei no site e chegou tudo certinho, obrigada.",2018,4,positive
5418,Entregou dentro do prazo.,2017,5,positive
5419,"Foi entregue rápido meu pedido, já comprei outras vezes pela lannister e nunca tive problemas. Recomendo.",2018,4,positive
5420,"Primeira compra, espero que continue sempre assim, pontual, zelando pela excelência.",2018,5,positive
5422,"Gostaria de saber o motivo pelo qual não recebi ainda, a possibilidade de entregar ou faço o cancelamento do pagamento ? ",2018,1,negative
5424,O produto nao foi entregue.,2018,1,negative
5428,"Lindas peças, porém muito frágeis. ",2018,2,negative
5429,"Produto chegou no prazo. Só é uma pena ele n tocar musica. Fora isso é realmente lindo, e quebra um galho pra mamãe que quer deixar o bebe brincando enquanto faz algumas tarefas doméstica. ",2018,5,positive
5432,Entrega pontual; ótimo produto ; bom preço. Tudo certinho!!,2018,5,positive
5433,"Efetuei a compra em 02/02/18 e até hoje não recebi o produto. Quando tento rastrear a entrega, verifico que o status não muda há mais de 20 dias.",2018,1,negative
5435,Favor responder a tesoura de desfiar veio com defeito preciso trocar,2017,1,negative
5444,PRODOTO CONFORME DESCRITO.,2018,5,positive
5445,Um dos produtos comprados não foi entregue mas consta no site como se houvesse sido entregue há dois dias.,2017,1,negative
5447,Ótimo produto. Eu recomendo ,2018,5,positive
5448,Veio antes do prazo de entrega. ,2018,5,positive
5449,excelente tenho sempre preferencia pelas compras online com a lannister. empresa 100% comprometida com os cliente. muito satisfeito com as compras já efetuadas. ,2017,5,positive
5454,Muita praticidade e pontualidade.,2018,4,positive
5456,Muito bom.,2018,4,positive
5457,Espero que o aparelho realmente atenda o que espero dele...,2018,5,positive
5459,"Além da comodidade, celeridade, o produto foi entregue da data esperada. Obrigado !",2018,5,positive
5460,"Mochila grande e boa qualidade, poucas divisões s compartimentos. 
Bom custo beneficio ",2017,5,positive
5462,"não gostei, efetuei a compra, paguei pelo frete, e o produto esta nos correios bem longe de minha residencia, quero meu estorno.",2018,1,negative
5466,Show,2017,5,positive
5467,Produto além das expectativas!,2018,5,positive
5469,"O produto chegou anted do prazo final, o que foi ótimo pois era presente, bem embalado e igualzinho ao anunciado.",2017,5,positive
5471,tudo perfeitinho,2017,4,positive
5472,Produto ótimo recomendo,2018,5,positive
5474,"Muito bom a entrega e estava dentro do prazo. Alias foi entregue antes, sem nenhum defeito.",2018,5,positive
5476,Produto de qualidade ! Porém na próxima vez vou me atentar nas características do produto ! Infelizmente é pequena para o meu uso ! Mesmo assim deixo bem claro novamente que o produto tem ótima qualid,2018,3,neutral
5478,"gostei do atendimento , recomendo",2018,4,positive
5480,Parabéns pela agilidade ,2018,5,positive
5482,produto adequado às minhas necessidades e fácil de montar.,2018,4,positive
5483,"Adorei o pingente, vem na caixinha e com certificado de garantia.",2017,5,positive
5484,Recomendo. ,2017,5,positive
5490,Muito bom.,2017,3,neutral
5491,"fiquei super satisfeita com a aquisição de colares da amizade, são muito bonitos e bem acabados, minha netinha de 08 anos e as melhores amigas ficaram super felizes, obrigada pela entrega rápida.",2018,5,positive
5493,Até o momento não recebi e já estou pagando ,2018,1,negative
5494,"Gostei muito, vou usar em palestras.",2018,5,positive
5497,Não recebi meu produto! ,2018,1,negative
5500,Chigling,2017,3,neutral
5501,Não recebi o rpoduto em minha residencia.,2017,1,negative
5503,"PRODUTO NÃO CHEGOU,E JÁ PASSOU O PRAZO DE ENTREGA",2016,1,negative
5504,Chegou antes do prazo determinado e veio correto.,2017,5,positive
5505,O produto chegou na minha cidade mas não na minha residência pois os correios são um órgão cheio de falhas com isso não levou até a minha casa tive o transtorno de ir buscar o objeto na sede mas próxi,2016,4,positive
5506,"Boa parceira, meu produto chegou antes do prazo. ",2018,5,positive
5508,Mandei um email até agora não obtive resposta. Meu produto não chegou... ,2017,1,negative
5510,"O produto não foi entregue em minha residência, tendo eu, que disponibilizar de tempo para ir ao correio retirar o produto.

muito Obrigada.
Rosana",2017,1,negative
5511,"Boa noite, 
Fui verificar o andamento do produto e visualizei no email que o produto havia sido entregue, sendo que não recebi nada.
Aguardo resposta.
O que está havendo afinal ?",2018,1,negative
5512,"Entregou bem antes do prazo,com qualidade e segurança.",2017,4,positive
5513,Otimo produto e de fácil substituição no aparelho. Demorei nem 2 min para troca,2018,5,positive
5516,Já é o meu segundo pedido com essa loja e tudo funcionou muito bem.,2018,5,positive
5517,"Recomendo esta loja, mas por conta dos correios, houve atraso na entrega.",2018,4,positive
5520,Recomendo produto muito bom,2018,5,positive
5521,"Seriedade no serviço, parabéns.",2018,5,positive
5522,"Realizei a compra e o pgto no msm dia e ele foi confirmado em 1 dia. Levou semanas para a emissão da nota fiscal. A nota foi emitida, mas até hj o produto não foi p transporte. Ou seja, nunca nem vi!",2018,1,negative
5525,Tudo perfeito,2018,5,positive
5526,muito bom e ainda mandaram um brinde lindinho junto!! RECOMENDO.,2017,5,positive
5528,"pela segunda vez aconteceu problema em compra via internet. Primeiro foi com um climatizador que me mendaram com voltagem divergente.
Agora com pedido feito na segunda semana de março e aainda nao en",2018,1,negative
5531,"Gostei muito do produto, pelos macios ",2018,5,positive
5539,demora muito pr entregar,2018,4,positive
5540,Otima entrega .producto muito bom ,2018,5,positive
5541,O produto ainda não foi entregue. Aguardo contato do SAC,2017,3,neutral
5542,"Tudo correu bem. O produto chegou até antes do prazo, mas a bateria de celular que comprei veio simplesmente dentro de um envelope, nada protegido e ainda por cima não funciona. Já pedi cancelamento.",2017,2,negative
5547,Vou mandar o produto de volta. Estou esperando o andamento da solicitação de devolução que fiz à stark.,2018,1,negative
5548,Ótimo produto.,2018,5,positive
5549,recomendo,2018,5,positive
5551,"Ótimo !
Obrigado stark, loja recomendadíssima.
",2017,5,positive
5553,"Entrega do produto feita bem antes data, tamanho certo e itens que constavam no kit. Muito melhor que o esperado.",2018,5,positive
5554,"Recebi, porém com atraso na entrega. 
Mas produto chegou com tudo ok!",2017,4,positive
5558,"A entrega foi muito rápida e veio o produto correto, porém a qualidade das bolsas deixou a desejar um pouco.. Fora isso tudo excelente!",2018,5,positive
5565,A entrega foi bem antes do esperado. O produto é de qualidade venho em uma embalagem perfeita. ,2018,5,positive
5570,A chaleira aquece a água rápido... muito boa..a única coisa é que ela diz que apita mas nunca apitou...mas isso não tem problema pq dá p escutar quando está fervendo a água... recomendo!!!,2018,4,positive
5573,"a capinha a qualidade do plastico de dentro é boa a parte de fora ""couro"" é boa Porem a pelicula de vidro veio quebrada e bem quebrada,veio bem embalada oque indica que foi embalada ja quebrada.triste",2017,2,negative
5576,Recomendo ,2017,5,positive
5578,mais rapido que ja vi,2018,5,positive
5580,recomendo a loja...meu produto chegou antes do prazo é em perfeitas condições .,2018,5,positive
5581,"O cesto foi recebido com uma das duas dobradiças amassada e faltando um parafuso de dois de uma lateral, que sequer teve a furação do parafuso na madeira, ou seja ele nunca foi colocado.",2018,2,negative
5584,"Chegou muito rápido bem antes do prazo, me surpreendeu , produto 100% como está no anúncio. Parabéns! ",2018,5,positive
5588,"embalagem apropriada, entregue dentro do prazo",2018,5,positive
5591,O produto não foi entregue!,2018,1,negative
5592,É realmente o prometido! Parabéns ao vendedor!,2018,5,positive
5593,Eu gostei muito dos meus produto,2017,1,negative
5594,"Chegou rápido, lacrado e bem embalado",2018,5,positive
5595,Ótimo produto grande e de fácil montagem eu recomendo com certeza ,2018,5,positive
5596,"atendeu as minhas necessidades gostei muito 


 ",2018,4,positive
5597,"Adorei as bolsas, lindas!",2018,5,positive
5601,O produto foi entregue de forma satisfatória.,2018,5,positive
5602,"Satisfeita com produto, com qualidade, prazo de entrega. ",2018,5,positive
5603,"Produto não é original como anunciado,e sim compatível,já pedi a devolução.",2018,1,negative
5606,"não é reconhecido pelo meu pc, sendo q o mesmo é atualizadíssimo no que se refere aos drivers!",2017,1,negative
5607,MUITO BOM!,2018,5,positive
5614,"Recebi dentro do prazo estabelecido, produtos entregues em perfeito estado",2018,5,positive
5615,produto cortina nao veio e agora?,2018,1,negative
5616,Ainda não recebi o produto e tbm recebi uma outra msg sinalizando q ia ser cancelado,2018,1,negative
5617,foi entregue no prazo,2018,5,positive
5619,"Gostei do produto mas na entrega deixou a desejar, e não dão informações ao cliente sobre a entrega.. mas o produto é ótimo e lindo! ",2018,4,positive
5625,muito bom chegou muito antes do prazo de entrega,2017,5,positive
5626,O produto veio com defeito ! ,2017,1,negative
5628,"falta agora o terceiro e o i ultimo trlogio de 181.40,estou no aguardo",2018,3,neutral
5629,"Estou tentando entrar em contato há dias com o stark e a targaryen para resolução do problema.
Veio somente metade do pedido.",2017,1,negative
5631,Eu precisava de uma capa para Galaxy S8 edge sem ser o Plus. Veio para o modelo errado o Plus. Quero devolve-la não tem funcionalidade pra mim.,2017,3,neutral
5632,"O relógio é muito bonito e de boa qualidade...a entrega foi muito antes do esperado. O único problema é que na foto ele parece cinza, porém é preto.",2018,4,positive
5636,"Chegou na data certa,tudo conforme o combinado",2017,4,positive
5639,Sei que o atraso da entrega ocorreu em virtude da paralisação.,2018,5,positive
5651,"Capinha perfeta, como uma luva. Pelicula não ficou perfeita, com algumas bolhas de ar nos extremos",2017,4,positive
5654,COMPREI UM CARTUCHO NOVO ORIGINAL DA HP E QDO CHEGOU AQUI O PRODUTO ERA REMANUFATURADO,2018,1,negative
5658,Bom,2018,3,neutral
5661,Recebi parcialmente.,2018,2,negative
5664,FOI ENTREGUE ANTES DO PRAZO,2018,4,positive
5666,"no site comprei o produto o original embalado, inclusive com o preço maior, porem recebi o produto desembalado, enrolado em plastico bolha muito diferente do original, diferente do que comprei..",2018,2,negative
5667,Excelente chegou no prazo.,2018,5,positive
5668,produto entregue antes da data,2018,5,positive
5669,mousse não faz espuma deve estar com problema como faço pra trocar. Nao compre se nao trocarem o meu ,2018,1,negative
5671,Meus Parabéns,2017,5,positive
5672,Produto ce qualidade,2017,5,positive
5674,Ótimo produto e entrega rapida,2018,5,positive
5675,"Não recebi o produto que comprei. Comprei o seguinte produto: Isqueiro Zippo Preto Com LOGO 24756zl, foi entregue um sem logo, não correspondendo ao produto pelo qual comprei.",2018,2,negative
5677,Os Correios não sabem onde está o produto é eu não consigo entrar em contato com a loja para ter uma satisfação sobre minha compra. ,2018,2,negative
5679,"achei otimo o produto, chegou 20 dias antes do combinado!! parabens!!!!!!",2018,5,positive
5680,muito bom ,2018,5,positive
5686,Produto de acordo com o anunciado e entrega antes do prazo,2017,5,positive
5687,satisfeito,2017,5,positive
5689,Tinha que vir com manual de montagem,2018,4,positive
5695,Recebi o produto do parceiro dentro do prazo prometido em perfeitas condiçőes. Recomendo-o. Voltaria indicar e comprar dele.,2018,4,positive
5698,"Entrega rápida, produto de qualidade!",2018,5,positive
5699,"Ha muitos anos que sou cliente da stark, e só tenho visto mais evolução dessa loja estão de parabéns",2017,5,positive
5701,"O pedido se tratava de 5 frascos de oleo de linhaça, veio 1oleo de coco. Se não tinha os 5, não deveria vender.Estou a 2 dias tentando contato com por e_mail e ninguem responde. Por telefone e imposs",2018,1,negative
5702,A encomenda chegou em perfeito estado e bem antes do prazo!,2018,5,positive
5703,"O suporte d mesa é muito bom, mas a tampa é muito frágil. A minha quebrou comigo tentando abrir.",2017,4,positive
5704,"Recomendo material com qualidade e preço muito bom.
",2017,5,positive
5705,Bom,2018,5,positive
5706,"Excelente produto, mas houve muita demora na entrega.",2018,3,neutral
5707,"O produto veio desbotado, um aspecto de produto velho e pouca qualidade, no site parece ser lindo. Caso tivesse visto o produto antes com certeza não compraria.
Não recomendo.",2018,1,negative
5709,Produto falsificado código de autênticidade falso.,2018,1,negative
5710,Bom vendedor,2017,5,positive
5717,Otimo produto,2018,5,positive
5718,"Recomendo totalmente este site, produto entregue corretamente e antes do prazo estipulado. Parabéns!!!",2017,5,positive
5719,"Ajudem a rastrear uma das 3 prateleiras que faltou, só chegaram 2 delas...",2017,5,positive
5721,Uma excelente loja e produto maravilhoso ,2018,5,positive
5725,"Relógio belíssimo, muito elegante, inacreditável diante do valor de menos de R$ 150,00! Veio muito bem embrulhado e protegido, fora que tem também caixa muito chique, como se fosse jóia!!! Recomendo",2017,5,positive
5727,Produto está atrasado ,2018,4,positive
5728,Tudo certo ,2017,5,positive
5729,O produto chegou em 3 dias.,2017,5,positive
5730,Tudo ok. Recomendo!|,2018,4,positive
5731,SHOW!,2018,5,positive
5732,"Meu esposo recebeu, estou no interior e quando a mercadoria chegar vou conferir. Eu comprei e ele não pode confirmar o pedido até que eu veja. Kelly",2018,5,positive
5733,comprei nove cadeiras e chegou só 7 cade o restante?,2018,2,negative
5740,Pena que o prato veio quebrado. ,2017,2,negative
5741,"Recebi antes do prazo
Material excelente
Recomendo
",2018,5,positive
5742,Meu produto só chegou o shampoo o condicionador não veio ou vcs me mandem ou devolvem o meu dinheiro pq paguei a vista no boleto e também quero o valor do frete q foi caro... Obrigado,2018,1,negative
5746,PRODUTO DE BOA QUALIDADE E BONITO,2017,5,positive
5749,Tudo certo,2018,4,positive
5750,Muito bom,2017,5,positive
5755,"Recebei o relógio dentro do prazo ,tamanho grande e muito bonito .",2018,5,positive
5761,"comprei 2 toner hp ce278a e só recebi 1 e ainda emitiram a nota fiscal com 2 produtos. Estou até agora, esperando a entrega do segundo toner já entrei em contato com a targaryen e ainda não me retornaram",2017,2,negative
5762,ok,2018,5,positive
5764,"Preço atraente, mas demora demais a entrega e não tem acompanhamento via e-mail de por onde o produto anda",2018,2,negative
5767,"produto regular
mas as estampas sao lindas",2018,2,negative
5769,"Produto correto e funcionando perfeitamente, veio muito bem embalado e protegido, e chegou muito antes do prazo.",2018,5,positive
5771,satisfeito,2017,5,positive
5773,Não recomendo a referida loja,2018,2,negative
5778,"Só chegou uma capa dia 27/08 e a outra dia 29/08, mas constava no rastreamento que eu já tinha recebido as duas, no final tudo certo.
Obrigada ",2018,3,neutral
5779,otimo,2017,5,positive
5780,Produto não entregue. Prazo expirado.,2018,1,negative
5782,"Não recebi o produto, já enviei vários e-mail sem resposta..quero meu dinheiro de volta",2017,1,negative
5785,"Fiz a compra de um celular e uns pincéis. A venda do celular foi cancelada e aparentemente a compra dos pincéis havia sido aprovada, porém, recebi um e mail que a compra dos pincéis foi cancelada tamb",2017,1,negative
5787,"Tudo dentro do programado...entrega rapida...recebimento perfeito, só não posso avaliar o produto, pois ainda instalei.",2018,3,neutral
5791,"Recebi somente a chaleira, faltou a lixeira",2018,3,neutral
5792,"Estou muito insatisfeito com essa loja targaryen, já paguei o pelo produto e o mesmo não foi entregue no prazo, quero que entregue meu produto com urgência!!! Espero que a targaryen e stark resolvam isso.",2018,1,negative
5793,Muito bom,2018,4,positive
5796,Produto bom. Porem pedi uma base que tem os ledes verdes e veio outra completamente diferente da que comprei e que era a do anuncio. ,2018,4,positive
5797,"O produto chegou bem antes da data prevista, muito bom, obrigada!",2017,5,positive
5798,Satisfeita com o produto q recebi,2017,5,positive
5800,Otima e chegou em bom estado .. Não substituí a prancha mas ajuda muito no dia a dia .. Como não gosto de pranchar pq acho chato ela me ajudou mt ,2017,5,positive
5801,O tapete n serve no renegade,2018,1,negative
5803,"Estou satisfeita com o serviço prestado. 
O meu pedido chegou à tempo para o que eu precisava. ",2018,5,positive
5805,Chegou muito rapido,2018,4,positive
5806,Boneca original em perfeito estado.,2018,5,positive
5807,"O serviço de entrega é muito bom, provavelmente comprarei de novo.",2018,5,positive
5811,"veio so a matade da compra,entro em contato com quem?",2017,3,neutral
